alias,archimate_type,authentiek,author,begrip,GGM-bron,created,datum_opname,datum_tijd_export,definitie,domein-dcat,domein-iv3,GEMMA-definitie,GEMMA-naam,GEMMA-toelichting,GEMMA-type,GEMMA-url,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,is_datatype,kwaliteit,modified,GGM-naam,nullable,package_id,phase,populatie,schema_id,status,stereotype,GGM-synoniemen,GGM-toelichting,uri,version,visibility,GGM-uml-type,Datum-tijd-export
,,,Arjen Brienen,,,2019-05-16 15:22:56,,,iemand die meedoet aan eencollege- of raadsvergadering,,Griffie,iemand die meedoet aan eencollege- of raadsvergadering,MaatschappelijkeActiviteit,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-ccf78bc5-8d4a-440f-a642-abcf60149628,,,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,False,,2025-12-18 15:38:50,Aanwezige Deelnemer,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:55:17,,,Een onderwerp dat in de vergadering wordt behandeld.,,Griffie,Een onderwerp dat in de vergadering wordt behandeld.,Agendapunt,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,,,EAID_73FB5212_40ED_40dc_B837_36588840445A,,False,,2025-12-18 15:38:50,Agendapunt,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:44:01,,,Categorie waarop leveranciers zich voor de levering van personeel voor kunnen kwalificeren,,Griffie,,,,,,,,EAID_B9B82B25_5D7F_4d2b_84F9_4DF74525EEAD,,False,,2025-12-18 15:38:50,Categorie,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:26:04,,,Iemand die behoort het college van burgemeester en wethouders,,Griffie,Iemand die behoort het college van burgemeester en wethouders,Collegelid,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,,,EAID_7B9EDDFD_57F7_4ff2_938F_FDFA3B503DA8,,False,,2025-12-18 15:38:50,Collegelid,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:44:26,,,Samenhangende set gegevens en informatie voor een specifiek doel,,Griffie,Samenhangende set gegevens en informatie voor een specifiek doel,Dossier,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-1364056c-dc25-4855-a75f-eb523f012b02,,,EAID_475E24C9_CC9A_49cc_AB80_8CA0221441E5,,False,,2025-12-18 15:38:50,Dossier,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:10:22,,,Persoon die meldiing of aanvraag doet,,Griffie,Persoon die meldiing of aanvraag doet,Indiener,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-6e591734-ef9a-4858-bca1-f924c1aef7b0,,,EAID_98CB3C6F_588B_479f_9A2B_F5D5362DD17C,,False,,2025-12-18 15:38:50,Indiener,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:44:13,,,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te co&#246;rdineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresultaten en benefits die zijn gerelateerd aan de strategische doelstellingen van de organisatie.",,Griffie,,,,,,,,EAID_CA56A59A_F855_4c19_89BE_578B12481EA0,,False,,2025-12-18 15:38:50,Programma,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.12.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:10:04,,,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,,Griffie,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,Raadscommissie,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-62126697-6498-4c0a-a84e-2275138c2eaa,,,EAID_CB27D699_F82B_45ad_823A_B2B51BCAECBA,,False,,2025-12-18 15:38:50,Raadscommissie,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.11.0,,Class,12052026-14:54:00
,,,Arjen Brienen,,,2019-05-16 11:09:46,,,Iemand die behoort de gemeenteraad,,Griffie,Iemand die behoort de gemeenteraad,Raadslid,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-db373678-134a-4333-9d49-e86faf5ce531,,,EAID_5772BEBB_97FA_42a9_B70D_DB55EAD6D1EE,,False,,2025-12-18 15:38:50,Raadslid,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,,GGM_ROOT_SCHEMA,Proposed,Objecttype,,,,1.11.0,,Class,12052026-14:54:00
,,,Arjen Brienen,"#NOTES#Description: Verwijzing naar een begrip. De verwijzing heeft de vorm van een term of een URI.
",,2019-05-16 11:06:43,"#NOTES#Description: De datum waarop het informatie-element is opgenomen in het informatiemodel.
",,Stuk dat door de gemeenteraad wordt behandeld,,Griffie,Stuk dat door de gemeenteraad wordt behandeld,Raadsstuk,,business-object,https://gemmaonline.nl/index.php/GEMMA/id-378dab8d-1135-40b8-9ed5-3591a89c75c2,"#NOTES#Description: De registratie of het informatiemodel waaraan het informatie-element ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAID_440219A4_C64B_4eac_ADE5_E79ED6AA9BFE,,False,"#NOTES#Description: Voor objecttypen die deel uitmaken van een registratie betreft dit de waarborgen voor de juistheid van de in de registratie opgenomen objecten van het desbetreffende type.
",2025-12-18 15:38:50,Raadsstuk,,EAPK_9EBFD9E7_BB04_45c9_97BB_426207B40292,1.0,<memo>#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.#NOTES#Voor objecttypen die deel uitmaken van een (basis)registratie betreft dit de beschrijving van de exemplaren van het gedefinieerde objecttype die in de desbetreffende (basis)-registratie voorhanden zijn.,GGM_ROOT_SCHEMA,Proposed,Objecttype,,#NOTES#Een inhoudelijke toelichting op de toepassing van het informatie-element.,,1.13.0,,Class,12052026-14:54:00
