afkorting,alias,author,begrip,GGM-bron,created,datum_opname,definitie,domain,domain_name,herkomst,herkomst_definitie,GGM-guid,is_domain,modelnaam_kort,modified,GGM-naam,parent_package_id,phase,release,schema_id,status,stereotype,GGM-toelichting,uri,version,visibility,GGM-uml-type,Datum-tijd-export
"GGM#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",GGM,Ahskan Ashkpour en Arjen Brienen,,,2018-04-04 15:03:05,,Het Gemeentelijk Gegevensmodel,,,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
",,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,False,,2025-12-20 22:16:45,Delfts Gemeentelijk Gegevensmodel,,1.0,20250729,GGM_ROOT_SCHEMA,Approved,Basismodel,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,2.5.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Ashkan Ashkpour,,,2023-10-12 14:31:31,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
",Domein dat gegevens bevat die worden vastgelegd bij en voortkomen uit bestuurlijke en politieke processen en  beleidsvorming en gegevens die in het kader van de gemeentelijke taak rond burgerzaklen worden vastgelegd.,"Package: ""0 Bestuur, Politiek en Ondersteuning""","Bestuur, Politiek en Ondersteuning","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_47DC5ADA_17D7_49e1_8BC6_F798EE72B111,True,,2025-12-18 15:38:53,"0 Bestuur, Politiek en Ondersteuning",EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.3.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-04-16 10:33:14,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over het waarborgen van veiligheid, handhaving van regels en crisisbeheersing.","Package: ""1 Veiligheid en Vergunningen""",Veiligheid en Vergunningen,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C,True,,2025-03-27 15:28:35,1 Veiligheid en Vergunningen,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-03-21 11:47:02,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over infrastructuur, mobiliteit en waterbeheer ter ondersteuning van bereikbaarheid en transportefficiëntie.","Package: ""2 Verkeer, Vervoer en Waterstaat""","Verkeer, Vervoer en Waterstaat","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_C048FE46_1774_4ade_A25D_6DB87794B8A7,True,,2025-03-27 15:28:35,"2 Verkeer, Vervoer en Waterstaat",EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-05-28 16:19:08,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over economische ontwikkeling, bedrijvigheid en innovatie.","Package: ""3 Economie""",Economie,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8,True,,2025-03-27 15:28:35,3 Economie,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-05-04 14:40:38,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over onderwijsvoorzieningen, leerlingenstromen, taken in het onderwijsveld  en educatieve ondersteuning.","Package: ""4 Onderwijs""",Onderwijs,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_604AC59D_D038_4e78_A5FA_80E4748DED5B,True,,2025-03-27 15:28:35,4 Onderwijs,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-05-28 16:19:31,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over taken in het kader van erfgoed, sportieve activiteiten, culturele voorzieningen en recreatieve mogelijkheden.","Package: ""5 Sport, Cultuur en Recreatie""","Sport, Cultuur en Recreatie","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_40A8E0F6_63CB_4ac6_B378_95CC70E4A840,True,,2025-03-27 15:28:35,"5 Sport, Cultuur en Recreatie",EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-03-19 15:31:57,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
",Het informatiedomein dat gegevens omvat over zorg en ondersteuning welzijn en maatschappelijke participatie ter ondersteuning van individuen of groepen.,"Package: ""6 Sociaal Domein""",Sociaal Domein,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_B88A8152_6617_4451_B7EF_FBFB5A06159F,True,,2025-03-27 15:28:35,6 Sociaal Domein,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-05-28 16:19:49,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over volksgezondheid, afvalbeheer en milieubescherming.","Package: ""7 Volksgezondheid en Milieu""",Volksgezondheid en Milieu,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_BA63AB75_03F5_44e6_8A07_377EA0F44E62,True,,2025-03-27 15:28:35,7 Volksgezondheid en Milieu,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-05-28 16:20:19,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over huisvesting, ruimtelijke inrichting en verbetering van de leefomgeving in stedelijke of landelijke gebieden.","Package: ""8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing""","Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_91A0DA15_8CF6_4dc6_83E4_4A6DBE3A67AA,True,,2025-03-27 15:28:35,"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing",EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
